iterations,learning_rates,depths,l2_leaf_regs,test-Recall-mean,train-Recall-mean
100,0.003,5,2.0,0.8133779264214047,0.8180327117789893
100,0.003,5,3.0,0.8157649681946357,0.8191258443176602
100,0.003,5,4.0,0.8155183946488295,0.8199916387959865
100,0.003,7,2.0,0.8139764126034147,0.8211406442527722
100,0.003,7,3.0,0.8134325302027168,0.8203637976929902
100,0.003,7,4.0,0.8123950583577912,0.8202307009760427
100,0.009,5,2.0,0.8228843620147968,0.8269205432248911
100,0.009,5,3.0,0.8217577108881459,0.8255667038275732
100,0.009,5,4.0,0.8220464611768962,0.8275332188375667
100,0.009,7,2.0,0.8174715719063544,0.8231705685618727
100,0.009,7,3.0,0.8154714850367025,0.8220866090431308
100,0.009,7,4.0,0.8148440005497779,0.8222728730471436
100,0.03,5,2.0,0.826523786772234,0.8328646508770732
100,0.03,5,3.0,0.8281939799331104,0.8332107023411371
100,0.03,5,4.0,0.8270831850850353,0.8334626058492848
100,0.03,7,2.0,0.8200916635699245,0.8291186671621454
100,0.03,7,3.0,0.8204442157619417,0.8284323814424149
100,0.03,7,4.0,0.8217880740680317,0.8327616445060771
200,0.003,5,2.0,0.8158095612827073,0.8179421601416484
200,0.003,5,3.0,0.8164076332874288,0.8200747590005898
200,0.003,5,4.0,0.8160338382844777,0.8181782411961439
200,0.003,7,2.0,0.811438127090301,0.8219966555183946
200,0.003,7,3.0,0.8132470554020653,0.8219499781881633
200,0.003,7,4.0,0.8162393162393163,0.8240129134150873
200,0.009,5,2.0,0.8213473483038699,0.823817486860965
200,0.009,5,3.0,0.8259403491089018,0.831245704860952
200,0.009,5,4.0,0.8272110739502044,0.830613619472315
200,0.009,7,2.0,0.8214355544121433,0.8302161049652688
200,0.009,7,3.0,0.8180787811222593,0.8272250092902267
200,0.009,7,4.0,0.8193608324043106,0.8305722779635819
200,0.03,5,2.0,0.8298136645962734,0.8343730803358133
200,0.03,5,3.0,0.828301746562616,0.8338573021181718
200,0.03,5,4.0,0.8282116860121975,0.8332923470391503
200,0.03,7,2.0,0.8241917502787068,0.8355908584169452
200,0.03,7,3.0,0.824933110367893,0.8335994983277593
200,0.03,7,4.0,0.8259665551839465,0.8362842809364548
300,0.003,5,2.0,0.8158095612827073,0.8179421601416484
300,0.003,5,3.0,0.8164076332874288,0.8200747590005898
300,0.003,5,4.0,0.8160338382844777,0.8181782411961439
300,0.003,7,2.0,0.811438127090301,0.8219966555183946
300,0.003,7,3.0,0.8132470554020653,0.8219499781881633
300,0.003,7,4.0,0.8162393162393163,0.8240129134150873
300,0.009,5,2.0,0.8213473483038699,0.823817486860965
300,0.009,5,3.0,0.8259403491089018,0.831245704860952
300,0.009,5,4.0,0.8272110739502044,0.830613619472315
300,0.009,7,2.0,0.8214355544121433,0.8302161049652688
300,0.009,7,3.0,0.8180787811222593,0.8272250092902267
300,0.009,7,4.0,0.8193608324043106,0.8305722779635819
300,0.03,5,2.0,0.8298136645962734,0.8343730803358133
300,0.03,5,3.0,0.828301746562616,0.8338573021181718
300,0.03,5,4.0,0.8282116860121975,0.8332923470391503
300,0.03,7,2.0,0.8241917502787068,0.8355908584169452
300,0.03,7,3.0,0.824933110367893,0.8335994983277593
300,0.03,7,4.0,0.8259665551839465,0.8362842809364548
