max_depth,min_samples_leafs,recall,precision,f1,accuracy
5,10,0.55,0.60,0.57,0.78
5,20,0.54,0.60,0.57,0.78
5,1,0.54,0.60,0.57,0.78
5,2,0.54,0.60,0.57,0.78
5,5,0.54,0.60,0.57,0.78
7,20,0.52,0.62,0.57,0.79
7,1,0.52,0.60,0.55,0.78
7,10,0.52,0.61,0.56,0.78
7,2,0.52,0.60,0.55,0.78
7,5,0.52,0.59,0.55,0.78
10,1,0.51,0.55,0.53,0.76
10,5,0.51,0.56,0.53,0.76
10,10,0.50,0.59,0.54,0.78
10,2,0.50,0.57,0.53,0.77
10,20,0.50,0.62,0.55,0.79
None,20,0.49,0.63,0.55,0.79
None,1,0.49,0.49,0.49,0.73
None,10,0.49,0.59,0.53,0.77
None,5,0.47,0.54,0.50,0.75
None,2,0.45,0.51,0.48,0.74
3,1,0.36,0.70,0.48,0.79
3,2,0.36,0.70,0.48,0.79
3,5,0.36,0.70,0.48,0.79
3,10,0.36,0.70,0.48,0.79
3,20,0.36,0.70,0.48,0.79
