max_depth,min_samples_leafs,recall,precision,f1,accuracy
5,20,0.80,0.51,0.62,0.74
5,10,0.80,0.50,0.62,0.74
5,5,0.79,0.50,0.62,0.74
5,1,0.79,0.50,0.61,0.74
5,2,0.79,0.50,0.61,0.74
7,20,0.79,0.50,0.61,0.73
7,5,0.79,0.49,0.61,0.73
7,10,0.78,0.49,0.60,0.72
7,2,0.78,0.49,0.60,0.72
3,1,0.78,0.52,0.62,0.75
3,2,0.78,0.52,0.62,0.75
3,5,0.78,0.52,0.62,0.75
3,10,0.78,0.52,0.62,0.75
3,20,0.78,0.52,0.62,0.75
7,1,0.78,0.49,0.60,0.73
10,20,0.77,0.49,0.60,0.73
None,20,0.77,0.50,0.60,0.73
10,10,0.74,0.48,0.58,0.72
10,5,0.73,0.49,0.59,0.72
None,10,0.70,0.47,0.57,0.71
10,2,0.70,0.47,0.56,0.71
10,1,0.69,0.48,0.57,0.72
None,5,0.67,0.49,0.57,0.72
None,2,0.57,0.47,0.52,0.71
None,1,0.49,0.50,0.49,0.73
