n_estimators,learning_rate,max_depth,min_child_samples,num_leaves,recall,precision,f1,accuracy
150,0.01,5,5,31,0.7672240802675585,0.547710176387288,0.6390380545417654,0.7696
150,0.01,5,5,62,0.7665551839464884,0.5472270845998486,0.6384770447240935,0.7692444444444445
150,0.01,5,5,124,0.7665551839464884,0.5472270845998486,0.6384770447240935,0.7692444444444445
150,0.01,5,10,31,0.7672240802675585,0.547710176387288,0.6390380545417654,0.7696
150,0.01,5,10,62,0.7665551839464884,0.5472270845998486,0.6384770447240935,0.7692444444444445
150,0.01,5,10,124,0.7665551839464884,0.5472270845998486,0.6384770447240935,0.7692444444444445
150,0.01,5,20,31,0.7672240802675585,0.547710176387288,0.6390380545417654,0.7696
150,0.01,5,20,62,0.7665551839464884,0.5472270845998486,0.6384770447240935,0.7692444444444445
150,0.01,5,20,124,0.7665551839464884,0.5472270845998486,0.6384770447240935,0.7692444444444445
150,0.01,7,5,31,0.7518394648829432,0.5451101714014662,0.6318532541141565,0.7671111111111111
150,0.01,7,5,62,0.7411371237458193,0.5498159559122849,0.6311281388119149,0.7697777777777778
150,0.01,7,5,124,0.7384615384615385,0.5516453141985675,0.6314040222676154,0.7708444444444444
150,0.01,7,10,31,0.7518394648829432,0.5451101714014662,0.6318532541141565,0.7671111111111111
150,0.01,7,10,62,0.7411371237458193,0.5498159559122849,0.6311281388119149,0.7697777777777778
150,0.01,7,10,124,0.7384615384615385,0.5516453141985675,0.6314040222676154,0.7708444444444444
150,0.01,7,20,31,0.7518394648829432,0.5451101714014662,0.6318532541141565,0.7671111111111111
150,0.01,7,20,62,0.7411371237458193,0.5498159559122849,0.6311281388119149,0.7697777777777778
150,0.01,7,20,124,0.7384615384615385,0.5516453141985675,0.6314040222676154,0.7708444444444444
150,0.03,5,5,31,0.8107023411371237,0.5252850520477971,0.6374181726333268,0.7548444444444444
150,0.03,5,5,62,0.8093645484949834,0.5273513259744089,0.6385673698731821,0.7564444444444445
150,0.03,5,5,124,0.8093645484949834,0.5273513259744089,0.6385673698731821,0.7564444444444445
150,0.03,5,10,31,0.8107023411371237,0.5252850520477971,0.6374181726333268,0.7548444444444444
150,0.03,5,10,62,0.8093645484949834,0.5273513259744089,0.6385673698731821,0.7564444444444445
150,0.03,5,10,124,0.8093645484949834,0.5273513259744089,0.6385673698731821,0.7564444444444445
150,0.03,5,20,31,0.8107023411371237,0.5252850520477971,0.6374181726333268,0.7548444444444444
150,0.03,5,20,62,0.8093645484949834,0.5273513259744089,0.6385673698731821,0.7564444444444445
150,0.03,5,20,124,0.8093645484949834,0.5273513259744089,0.6385673698731821,0.7564444444444445
150,0.03,7,5,31,0.7926421404682275,0.5316708887482883,0.6363865450378338,0.7592888888888888
150,0.03,7,5,62,0.7765886287625418,0.5333640751931708,0.632172671607101,0.7598222222222222
150,0.03,7,5,124,0.7698996655518394,0.5349728983931995,0.6311527927005757,0.760888888888889
150,0.03,7,10,31,0.7926421404682275,0.5316708887482883,0.6363865450378338,0.7592888888888888
150,0.03,7,10,62,0.7765886287625418,0.5333640751931708,0.632172671607101,0.7598222222222222
150,0.03,7,10,124,0.7698996655518394,0.5349728983931995,0.6311527927005757,0.760888888888889
150,0.03,7,20,31,0.7926421404682275,0.5316708887482883,0.6363865450378338,0.7592888888888888
150,0.03,7,20,62,0.7765886287625418,0.5333640751931708,0.632172671607101,0.7598222222222222
150,0.03,7,20,124,0.7698996655518394,0.5349728983931995,0.6311527927005757,0.760888888888889
150,0.09,5,5,31,0.7759197324414716,0.5357924268405996,0.6337731153379511,0.7615999999999999
150,0.09,5,5,62,0.7692307692307693,0.5348413592300123,0.6308869016095808,0.7607111111111111
150,0.09,5,5,124,0.7692307692307693,0.5348413592300123,0.6308869016095808,0.7607111111111111
150,0.09,5,10,31,0.7759197324414716,0.5357924268405996,0.6337731153379511,0.7615999999999999
150,0.09,5,10,62,0.7692307692307693,0.5348413592300123,0.6308869016095808,0.7607111111111111
