n_estimatos,max_depths,min_samples_leafs,recall,precision,f1,accuracy
100,3,5,0.84,0.49,0.62,0.72
200,3,20,0.83,0.50,0.62,0.73
200,3,2,0.83,0.49,0.61,0.72
50,3,10,0.83,0.49,0.61,0.72
50,3,2,0.83,0.49,0.62,0.73
100,3,20,0.83,0.49,0.62,0.73
200,3,5,0.83,0.50,0.62,0.73
100,3,10,0.83,0.50,0.62,0.73
300,3,20,0.83,0.50,0.62,0.73
200,3,10,0.83,0.50,0.62,0.73
300,3,2,0.83,0.50,0.62,0.73
300,3,10,0.83,0.50,0.62,0.73
300,3,5,0.83,0.50,0.62,0.73
50,3,20,0.83,0.50,0.62,0.73
50,3,5,0.83,0.50,0.62,0.73
100,3,2,0.82,0.50,0.62,0.74
200,5,10,0.82,0.52,0.63,0.75
50,5,5,0.82,0.52,0.63,0.75
100,5,20,0.82,0.52,0.63,0.75
300,5,10,0.82,0.52,0.63,0.75
50,5,2,0.81,0.52,0.63,0.75
200,5,20,0.81,0.52,0.63,0.75
100,5,2,0.81,0.52,0.63,0.75
300,5,20,0.81,0.52,0.63,0.75
100,5,5,0.81,0.52,0.63,0.75
200,5,2,0.81,0.52,0.63,0.75
300,5,5,0.81,0.52,0.63,0.75
300,5,2,0.81,0.52,0.63,0.75
200,5,5,0.81,0.52,0.63,0.75
100,5,10,0.81,0.51,0.63,0.75
50,5,10,0.81,0.51,0.63,0.75
50,5,20,0.81,0.52,0.63,0.75
100,7,10,0.81,0.53,0.64,0.76
200,7,20,0.81,0.53,0.64,0.76
100,7,20,0.81,0.53,0.64,0.76
300,7,5,0.80,0.53,0.64,0.76
300,7,20,0.80,0.53,0.64,0.76
200,7,10,0.80,0.53,0.64,0.76
50,10,20,0.80,0.54,0.64,0.76
50,7,10,0.80,0.53,0.63,0.76
50,7,5,0.80,0.53,0.64,0.76
100,7,5,0.80,0.53,0.64,0.76
300,7,10,0.80,0.53,0.63,0.76
50,7,20,0.79,0.52,0.63,0.75
50,7,2,0.79,0.53,0.64,0.76
200,7,5,0.79,0.53,0.64,0.76
100,7,2,0.79,0.53,0.64,0.76
300,10,20,0.79,0.53,0.64,0.76
200,10,20,0.79,0.53,0.64,0.76
200,7,2,0.79,0.53,0.64,0.76
300,7,2,0.79,0.54,0.64,0.76
100,10,20,0.79,0.53,0.64,0.76
100,10,10,0.78,0.54,0.64,0.77
50,10,10,0.77,0.55,0.64,0.77
300,10,10,0.77,0.54,0.64,0.77
200,10,10,0.77,0.54,0.64,0.77
200,10,5,0.76,0.55,0.64,0.77
300,10,5,0.76,0.55,0.64,0.77
100,10,5,0.75,0.55,0.64,0.77
50,10,5,0.75,0.55,0.63,0.77
100,10,2,0.73,0.56,0.64,0.78
50,10,2,0.73,0.56,0.64,0.78
200,10,2,0.73,0.56,0.63,0.77
300,10,2,0.73,0.56,0.63,0.78
