n_estimators,learning_rate,max_depth,min_child_weights,recall,precision,f1,accuracy
100,0.003,5,5,0.86,0.49,0.62,0.72
100,0.003,5,10,0.86,0.49,0.62,0.72
100,0.003,5,20,0.86,0.49,0.62,0.72
100,0.003,7,5,0.85,0.50,0.63,0.73
100,0.003,7,10,0.85,0.49,0.62,0.73
100,0.003,7,20,0.86,0.49,0.62,0.72
100,0.009,5,5,0.83,0.51,0.63,0.74
100,0.009,5,10,0.83,0.51,0.63,0.74
100,0.009,5,20,0.83,0.51,0.63,0.74
200,0.01,5,20,0.83,0.52,0.64,0.75
200,0.009,5,10,0.83,0.52,0.64,0.75
100,0.009,7,20,0.83,0.51,0.63,0.74
100,0.01,5,5,0.83,0.51,0.63,0.74
100,0.01,5,10,0.83,0.51,0.63,0.74
100,0.01,5,20,0.83,0.51,0.63,0.74
200,0.009,5,5,0.83,0.52,0.64,0.75
200,0.01,5,5,0.83,0.52,0.64,0.75
100,0.01,7,20,0.83,0.51,0.63,0.75
200,0.01,5,10,0.83,0.52,0.64,0.75
200,0.003,7,5,0.82,0.52,0.63,0.75
100,0.009,7,10,0.82,0.52,0.63,0.75
100,0.03,7,5,0.79,0.53,0.63,0.76
100,0.01,7,10,0.82,0.52,0.64,0.75
100,0.03,5,20,0.82,0.52,0.63,0.75
200,0.003,5,5,0.83,0.51,0.63,0.74
200,0.003,5,10,0.83,0.51,0.63,0.74
200,0.003,5,20,0.84,0.50,0.63,0.74
200,0.009,7,20,0.82,0.52,0.64,0.75
200,0.003,7,10,0.83,0.51,0.63,0.75
200,0.003,7,20,0.83,0.51,0.63,0.74
100,0.03,5,5,0.82,0.52,0.64,0.75
200,0.01,7,20,0.82,0.52,0.64,0.75
200,0.009,5,20,0.83,0.51,0.64,0.75
200,0.009,7,5,0.79,0.53,0.63,0.75
100,0.03,5,10,0.81,0.52,0.63,0.75
100,0.009,7,5,0.81,0.52,0.63,0.75
100,0.03,7,20,0.81,0.52,0.63,0.75
100,0.01,7,5,0.81,0.52,0.63,0.75
200,0.01,7,10,0.81,0.53,0.64,0.75
200,0.01,7,5,0.79,0.53,0.63,0.75
200,0.009,7,10,0.80,0.52,0.63,0.75
200,0.03,5,20,0.80,0.52,0.63,0.75
200,0.03,5,5,0.80,0.53,0.63,0.76
200,0.03,5,10,0.80,0.53,0.63,0.75
100,0.03,7,10,0.80,0.53,0.64,0.76
200,0.03,7,5,0.77,0.54,0.63,0.76
200,0.03,7,10,0.78,0.53,0.63,0.76
200,0.03,7,20,0.79,0.53,0.63,0.76
